epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.957,1.39438,0.89931,1.35232,0.81332,0.7607,0.792,0.42472,1.48657,0.79898,1.41949,0.000255623,0.000255623,0.000255623
2,408.69,1.42237,0.93203,1.3676,0.80391,0.75773,0.78457,0.41797,1.50373,0.83735,1.43751,0.00050182,0.00050182,0.00050182
3,587.194,1.44833,0.96426,1.38928,0.78041,0.72877,0.7639,0.39557,1.50378,0.88109,1.44239,0.000737866,0.000737866,0.000737866
4,772.549,1.45582,0.96914,1.39111,0.7934,0.71939,0.76475,0.39856,1.52695,0.86171,1.4647,0.000723321,0.000723321,0.000723321
5,949.614,1.46431,0.97492,1.38938,0.7861,0.73102,0.7559,0.39076,1.56236,0.86892,1.47751,0.000708095,0.000708095,0.000708095
6,1127.8,1.45924,0.96671,1.38961,0.79498,0.73615,0.77127,0.39983,1.52426,0.85568,1.46277,0.000692869,0.000692869,0.000692869
7,1305.99,1.44326,0.96099,1.38374,0.78804,0.73601,0.76796,0.40406,1.51713,0.86248,1.45537,0.000677643,0.000677643,0.000677643
8,1480.7,1.45436,0.96861,1.38963,0.7769,0.73658,0.76533,0.4029,1.50181,0.84945,1.44566,0.000662417,0.000662417,0.000662417
9,1656.48,1.44893,0.96129,1.38184,0.77782,0.73756,0.75938,0.39768,1.52049,0.86106,1.45146,0.00064719,0.00064719,0.00064719
10,1835.22,1.44002,0.95318,1.37538,0.79295,0.73946,0.77269,0.40391,1.50244,0.84329,1.44431,0.000631964,0.000631964,0.000631964
11,2014.74,1.43953,0.95461,1.3839,0.77052,0.74849,0.7671,0.40221,1.51445,0.84534,1.45289,0.000616738,0.000616738,0.000616738
12,2193.94,1.4237,0.93967,1.3708,0.77243,0.75108,0.76557,0.39809,1.51508,0.84562,1.45026,0.000601512,0.000601512,0.000601512
13,2371.64,1.42792,0.93384,1.37158,0.79116,0.74253,0.77042,0.40693,1.50236,0.842,1.44432,0.000586286,0.000586286,0.000586286
14,2550.52,1.4243,0.93198,1.37485,0.78725,0.71778,0.762,0.3995,1.53659,0.85694,1.45831,0.000571059,0.000571059,0.000571059
15,2726.62,1.42853,0.93578,1.3703,0.7752,0.74486,0.76856,0.40628,1.50564,0.84952,1.45111,0.000555833,0.000555833,0.000555833
16,2909.08,1.41731,0.92879,1.35995,0.80305,0.73838,0.77117,0.40862,1.50105,0.84021,1.4443,0.000540607,0.000540607,0.000540607
17,3083.44,1.41698,0.92442,1.36934,0.80562,0.7438,0.77549,0.4108,1.51379,0.82977,1.44752,0.000525381,0.000525381,0.000525381
18,3261.57,1.40889,0.91471,1.35531,0.79604,0.73923,0.77281,0.41006,1.50762,0.83338,1.4528,0.000510155,0.000510155,0.000510155
19,3437.71,1.40964,0.91736,1.35821,0.78778,0.74138,0.7694,0.40486,1.51772,0.83806,1.44992,0.000494928,0.000494928,0.000494928
20,3615.44,1.40036,0.90876,1.3624,0.79057,0.75105,0.7782,0.41552,1.49281,0.83005,1.43568,0.000479702,0.000479702,0.000479702
21,3793.77,1.40215,0.91072,1.36076,0.79495,0.73185,0.7693,0.4049,1.51367,0.8367,1.45446,0.000464476,0.000464476,0.000464476
22,3969.19,1.39138,0.89571,1.3455,0.7929,0.75176,0.77707,0.41567,1.49581,0.82231,1.43928,0.00044925,0.00044925,0.00044925
23,4143.86,1.38931,0.89539,1.34972,0.78625,0.74611,0.76659,0.4033,1.51119,0.83541,1.44676,0.000434024,0.000434024,0.000434024
24,4319.44,1.39308,0.89303,1.34874,0.79664,0.74675,0.7754,0.40959,1.50415,0.81763,1.44374,0.000418797,0.000418797,0.000418797
25,4495.48,1.38997,0.89301,1.34298,0.79002,0.75433,0.77125,0.40616,1.49355,0.81293,1.43799,0.000403571,0.000403571,0.000403571
26,4668.93,1.3825,0.89385,1.34685,0.80067,0.74268,0.77313,0.40716,1.49085,0.82335,1.43051,0.000388345,0.000388345,0.000388345
27,4847.9,1.37439,0.88212,1.33838,0.78772,0.75647,0.76935,0.4081,1.49106,0.82014,1.43341,0.000373119,0.000373119,0.000373119
28,5024.5,1.38424,0.88854,1.34196,0.80214,0.74243,0.77193,0.40989,1.49458,0.82009,1.43973,0.000357893,0.000357893,0.000357893
29,5198.1,1.37586,0.87315,1.33429,0.79362,0.75039,0.7758,0.40857,1.50408,0.82002,1.43706,0.000342666,0.000342666,0.000342666
30,5377.56,1.36294,0.86703,1.33244,0.80636,0.74563,0.77898,0.41409,1.4926,0.81276,1.43498,0.00032744,0.00032744,0.00032744
31,5549.9,1.36029,0.86784,1.3294,0.79431,0.75358,0.77638,0.41316,1.49821,0.81125,1.43818,0.000312214,0.000312214,0.000312214
32,5729.35,1.36065,0.86158,1.32631,0.79002,0.75195,0.778,0.41358,1.48968,0.81006,1.43803,0.000296988,0.000296988,0.000296988
33,5904.27,1.35993,0.86197,1.32966,0.77223,0.76122,0.77403,0.4066,1.49774,0.81191,1.43806,0.000281762,0.000281762,0.000281762
34,6082.95,1.3533,0.85684,1.32483,0.79347,0.75058,0.77535,0.41232,1.48899,0.81313,1.43457,0.000266535,0.000266535,0.000266535
35,6260.91,1.35431,0.85456,1.32154,0.78914,0.7514,0.77655,0.40949,1.48872,0.81172,1.43308,0.000251309,0.000251309,0.000251309
36,6438.35,1.34446,0.84677,1.32246,0.79352,0.75454,0.77985,0.41192,1.48815,0.80498,1.42993,0.000236083,0.000236083,0.000236083
37,6617.11,1.35344,0.85088,1.32139,0.79256,0.75745,0.77945,0.41141,1.49504,0.81322,1.43625,0.000220857,0.000220857,0.000220857
38,6793.73,1.33475,0.846,1.3157,0.79948,0.75161,0.7782,0.41319,1.49503,0.81132,1.44046,0.000205631,0.000205631,0.000205631
39,6970.54,1.34098,0.84656,1.31917,0.79661,0.75417,0.77548,0.40932,1.49105,0.80756,1.43218,0.000190404,0.000190404,0.000190404
40,7142.39,1.33524,0.83989,1.31404,0.7723,0.76094,0.7685,0.4064,1.49435,0.80611,1.43624,0.000175178,0.000175178,0.000175178
41,7319.29,1.34315,0.7755,1.35584,0.8023,0.75053,0.77542,0.4076,1.48802,0.80689,1.42941,0.000159952,0.000159952,0.000159952
42,7487.28,1.32869,0.75928,1.3448,0.78561,0.75249,0.76901,0.40427,1.49824,0.80985,1.44147,0.000144726,0.000144726,0.000144726
43,7657.6,1.32093,0.75714,1.34336,0.79152,0.75349,0.76822,0.4029,1.50007,0.80629,1.44302,0.0001295,0.0001295,0.0001295
44,7829.19,1.31614,0.7546,1.34076,0.78179,0.7536,0.76678,0.40324,1.4955,0.80881,1.44187,0.000114273,0.000114273,0.000114273
45,7997.12,1.30882,0.74796,1.32873,0.78087,0.75724,0.76836,0.40445,1.49571,0.80365,1.43791,9.90472e-05,9.90472e-05,9.90472e-05
46,8172.53,1.30293,0.74551,1.32747,0.77829,0.75303,0.76589,0.40272,1.49285,0.80493,1.44288,8.3821e-05,8.3821e-05,8.3821e-05
47,8339.36,1.29501,0.73866,1.32454,0.77181,0.76388,0.76765,0.40273,1.49777,0.80271,1.44876,6.85948e-05,6.85948e-05,6.85948e-05
48,8513.23,1.29631,0.73825,1.32679,0.77447,0.7629,0.7675,0.40238,1.49594,0.80584,1.44443,5.33686e-05,5.33686e-05,5.33686e-05
49,8681.33,1.29019,0.73338,1.31797,0.77868,0.76568,0.76994,0.40478,1.49643,0.80274,1.44503,3.81424e-05,3.81424e-05,3.81424e-05
50,8852.42,1.28996,0.73177,1.32074,0.77325,0.76181,0.76862,0.40249,1.49908,0.8045,1.44632,2.29162e-05,2.29162e-05,2.29162e-05
